input,given,family,orcid,name,identifier,department,degree,start,end
Carolina Méndez,Carolina,Méndez-Gálvez,0000-0001-7977-9595,University of Santiago Chile,grid.412179.8,Chemistry,BS Chemistry,2003,2007
Carolina Méndez,Carolina,Méndez Blanco,0000-0001-6378-2554,University of León,,,Master’s Degree in Innovation in Biomedical and Health Sciences,2015,2016
Carolina Méndez,Carolina,Méndez Blanco,0000-0001-6378-2554,University of León,,,Bachelor of Biotechnology,2011,2015
Carolina Méndez,Carolina,Olmedo Méndez,0009-0006-9915-6938,Universidade Federal de Sergipe,https://ror.org/028ka0n85,Departamento de Ciências Sociais e Programa de Pós-Graduação em Sociologia,"Bacharela em Ciências Sociais, Licenciada em Ciências Sociais e mestra em sociologia.",2013,2021
Carolina Méndez,Camila Carolina ,Méndez Kahn,0000-0003-1143-0578,,,,,,
Carolina Méndez,DIANA CAROLINA,JIMÉNEZ MÉNDEZ,0000-0002-8441-1282,La Gran Colombia University,grid.442173.7,,LICENCIADA EN CIENCIAS SOCIALES,,
Carolina Méndez,DIANA CAROLINA,JIMÉNEZ MÉNDEZ,0000-0002-8441-1282,Universidad Cooperativa de Colombia,27981,,MAGISTER EN DIFICULTADES DEL APRENDIZAJE,,
Carolina Méndez,Lilia Carolina,Méndez Martínez,0000-0002-0258-8472,Pontificia Universidad Javeriana,27964,,Magister Epidemiología Clínica,2010,2013
Carolina Méndez,Lilia Carolina,Méndez Martínez,0000-0002-0258-8472,Universidad Nacional de Colombia,28021,,Nutricionista Dietista,2000,2005
Carolina Méndez,VANESSA CAROLINA,MÉNDEZ CARVAJAL,0000-0003-2082-8289,,,,,,
Carolina Méndez,Carolina Vanessa,Méndez Yánez,0000-0002-9604-1784,,,,,,
Carolina Méndez,Ilse Carolina,Rodríguez Méndez,0000-0002-6583-6170,,,,,,
Carolina Méndez,Jenny Carolina,Méndez Súarez,0009-0001-3812-3757,,,,,,
Carolina Méndez,María Carolina,Méndez Téllez,0009-0007-4399-0779,Universidad de la Tierra y la Memoria Orlando Fals Borda,,Centro de Investigación y Formación,Curso de Diseño de proyectos de investigación doctoral en el campo de la comunicación. Anteproyecto titulado: “Un paradigma alternativo de la comunicación científica transgresor del sistema hegemónico actual de calificación de la ciencia”.,,
Carolina Méndez,María Carolina,Méndez Téllez,0009-0007-4399-0779,Universidad Nacional de Colombia,https://ror.org/059yx9a68,Facultad de Ciencias Económicas,Candidata a Maestría en Teoría y Política Económica,,
Carolina Méndez,María Carolina,Méndez Téllez,0009-0007-4399-0779,Pontificia Universidad Javeriana,https://ror.org/03etyjw28,"PUJ Sede Cali, Valle",Diplomado en Impacto de la Inteligencia artificial en la Auditoría Interna,2025,2025
Carolina Méndez,María Carolina,Méndez Téllez,0009-0007-4399-0779,Universidad Nacional de Colombia,https://ror.org/059yx9a68,Facultad de Ciencias Económicas,Economía,1994,1999
Carolina Méndez,Mirla Carolina,Méndez Gutiérrez,0000-0002-7161-147X,University Fermín Toro,https://ror.org/03whcj350,,Postdoctorado en Estudios Libres,2020,2021
Carolina Méndez,Mirla Carolina,Méndez Gutiérrez,0000-0002-7161-147X,University Fermín Toro,https://ror.org/03whcj350,Extensión Barinas,Doctora en Gerencia Avanzada,2017,2020
Carolina Méndez,Ingrid Carolina ,Méndez Guacaneme,0009-0008-9546-6298,,,,,,
Carolina Méndez,Martha Carolina,Rossainzz Méndez,0009-0005-1777-2650,Universidad Veracruzana,http://dx.doi.org/10.13039/501100004848,Centro de Estudios de la Cultura y la Comunicación ,Maestría en Estudios de la Cultura y la Comunicación ,2021,2023
Carolina Méndez,Martha Carolina,Rossainzz Méndez,0009-0005-1777-2650,Universidad Veracruzana,http://dx.doi.org/10.13039/501100004848,Centro de Estudios de la Cultura y la Comunicación ,Especialización en Promoción de la Lectura ,2020,2021
Carolina Méndez,Leidy Carolina,Durán Méndez,0000-0002-3577-6787,,,,,,
Carolina Méndez,Andrea Carolina,Redondo Méndez,0000-0001-9226-8626,Universidad Distrital Francisco José de Caldas,28007,,Magíster en Investigación Social Interdisciplinar,2014,2015
Carolina Méndez,Andrea Carolina,Redondo Méndez,0000-0001-9226-8626,Universidad Militar Nueva Granada,28019,,Especialista en Docencia Universitaria,2010,2010
Carolina Méndez,Andrea Carolina,Redondo Méndez,0000-0001-9226-8626,Universidad Nacional de Colombia,,,Politóloga,2003,2007
Carolina Méndez,Liliana Carolina,Vergara Méndez,0009-0001-7618-4948,,,,,,
Carolina Méndez,Miriam Carolina,Méndez Páz,0009-0006-7606-3536,,,,,,
Carolina Méndez,Cinthia Carolina,Méndez Somoza,0009-0005-9354-254X,,,,,,
Carolina Méndez,Carolina Patricia,Méndez Cruz,0009-0003-0496-9337,,,,,,
Carolina Méndez,Carolina Irene,Márquez Méndez,0000-0003-1035-4614,Instituto de Investigaciones Dr. José María Luis Mora,,Doctorado en Estudios del Desarrollo. Problemas y Perspectivas Latinoamericanas,Doctora,2018,2022
Carolina Méndez,Carolina Irene,Márquez Méndez,0000-0003-1035-4614,El Colegio de la Frontera Norte,,"Género, violencia y derechos humanos",Maestra en Acción Pública y Desarrollo Social,2014,2016
Carolina Méndez,Carolina Andrea,Gatica Méndez,0009-0002-1009-0196,,,,,,
Carolina Méndez,Yeny Carolina ,Arias Méndez ,0009-0009-4899-0377,,,,,,
Carolina Méndez,Ana Carolina ,Méndez Montero,0009-0005-0071-9159,,,,,,
Carolina Méndez,Larissa Carolina ,Méndez Domínguez ,0009-0003-8472-2122,,,,,,
Carolina Méndez,Jessica Carolina ,Méndez Robalino,0009-0000-5316-5886,,,,,,
Carolina Méndez,Tania Carolina ,Méndez Martinez ,0009-0009-6089-648X,,,,,,
Carolina Méndez,TABATA CAROLINA,VERDUGO MÉNDEZ,0009-0009-7232-2280,,,,,,
Carolina Méndez,Ana Carolina,Méndez Silva,0000-0002-8566-3289,Universidad Nacional Autónoma de México,7180,,Médico especialista en rehabilitación ,,
Carolina Méndez,Sandra Carolina ,Méndez Otálora ,0009-0000-7389-6475,,,,,,
Carolina Méndez,Diana Carolina,Méndez Forero,0009-0003-2411-1127,,,,,,
Carolina Méndez,Lucia Carolina,Méndez Huasasquiche,0009-0007-1707-0143,,,,,,
Carolina Méndez,Carolina Beatriz,Reyes Méndez,0000-0003-1925-947X,,,,,,
Carolina Méndez,LIZETH CAROLINA,FLORES MÉNDEZ,0000-0001-5235-5880,Centro de Investigación en Alimentación y Desarrollo,https://ror.org/015v43a21,,Doctorado en Ciencias,2020,2025
Carolina Méndez,LIZETH CAROLINA,FLORES MÉNDEZ,0000-0001-5235-5880,Universidad Politécnica de Sinaloa,https://ror.org/00mwm0e05,,Maestría en Ciencias,2015,2017
Carolina Méndez,LIZETH CAROLINA,FLORES MÉNDEZ,0000-0001-5235-5880,Universidad Politécnica de Sinaloa,https://ror.org/00mwm0e05,,Ingeniería en Biotecnología,2010,2014
Carolina Méndez,Teresa Carolina ,Robles Méndez ,0009-0003-1044-748X,Universidad de las Nacionalidades de Pueblos Awawtay Wasi,,Gestión del Desarrollo Infantil Familiar Comunitario ,,,
Carolina Méndez,Diana Carolina,Méndez Casadiego,0009-0007-7083-1482,Universidad de Ciencias Aplicadas y Ambientales,https://ror.org/01h2taq97,Facultad de medicina ,Médica ,2010,2016
Carolina Méndez,Elieth Carolina,Méndez Gaitan,0009-0004-7319-9433,,,,,,
Carolina Méndez,Vilma Carolina,Bekker Méndez,0000-0002-6161-1425,University College London,4919,Immunology,MSc.,1991,1993
Carolina Méndez,Leyla Carolina,Méndez Caro,0000-0003-2084-924X,Instituto Nacional de Derechos Humanos y Universidad de Atacama,,Facultad de Ciencias Jurídicas y Sociales,Diplomado en Educación en Derechos Humanos para la Educación Superior,,2025
Carolina Méndez,Leyla Carolina,Méndez Caro,0000-0003-2084-924X,Consejo Latinoamericano de Ciencias Sociales,https://ror.org/04dqdxv39,Red de Postgrados CLACSO,"Seminario virtual ""Racismo y Nación""",,2023
Carolina Méndez,Leyla Carolina,Méndez Caro,0000-0003-2084-924X,Universitat Autònoma de Barcelona,https://ror.org/052g8jq94,"Departamento de Antropología Social y Cultural, Departamento de Ciencia Política y Derecho Público, Departamento de Geografía, Departamento de Sociología, Departamento de Psicología básica, Evolutiva y de la Educación, Departamento de Psicología Social","Doctora. Programa interuniversitario en Estudios de género: Cultura, Sociedades y Políticas",2017,2021
Carolina Méndez,Leyla Carolina,Méndez Caro,0000-0003-2084-924X,Universidad Federal Fluminense,,"Departamento de Geografía. Grupo de Estudios Ethos. Geografía política, género y sexualidades",Estancia Doctoral,2019,2019
Carolina Méndez,Leyla Carolina,Méndez Caro,0000-0003-2084-924X,Universidad de Coimbra,,Centro de Estudios Sociales ,Escuela de Verano. Epistemologías del sur IV. El fin de un imperio cognitivo: ¿Qué viene después?,,2018
Carolina Méndez,Leyla Carolina,Méndez Caro,0000-0003-2084-924X,Universidad Católica del Norte,28049,Facultad de Humanidades,Magister en Psicología Social,2009,2010
Carolina Méndez,Leyla Carolina,Méndez Caro,0000-0003-2084-924X,Universidad Católica del Norte,28049,Facultad de Humanidades,Psicóloga,2004,2008
Carolina Méndez,Ana Carolina,Méndez Ecoscia,0000-0002-9302-6108,Université Claude Bernard Lyon 1,http://dx.doi.org/10.13039/501100006687,Chemical Engineering,PhD,2013,2017
Carolina Méndez,Ana Carolina,Méndez Ecoscia,0000-0002-9302-6108,Universidad Simón Bolivar,,Chemical Engineering,MSc ,2007,2013
Carolina Méndez,Ana Carolina,Méndez Ecoscia,0000-0002-9302-6108,Åbo Akademi,1040,Analytical Chemistry,Exchange student ,2011,2012
Carolina Méndez,Daniela Carolina,Pino Méndez,0009-0005-3690-3353,Universidad de La Laguna,https://ror.org/01r9z8p25,Facultad de Derecho,Grado en Derecho,2011,2015
Carolina Méndez,Diana Carolina,Martínez Méndez ,0009-0009-9530-6355,,,,,,
Carolina Méndez,Nicole Carolina ,Márquez Méndez ,0009-0006-0272-3335,,,,,,
Carolina Méndez,Any Carolina,Sánchez Méndez,0009-0001-4404-2451,Universidad Santa María,https://ror.org/051kdrm61,Dirección de posgrado ,Doctor en ciencias de la educación ,2022,2024
Carolina Méndez,Any Carolina,Sánchez Méndez,0009-0001-4404-2451,Universidad Central de Venezuela,http://dx.doi.org/10.13039/501100009943,Clinica Estomatologica ,Magister Scientiarium en Medicina Estomatológica ,2014,2017
Carolina Méndez,Any Carolina,Sánchez Méndez,0009-0001-4404-2451,Universidad Santa María,https://ror.org/051kdrm61,Odontología ,Odontólogo,2007,2012
Amelia K. Weiss,Amelia,Weiss,0000-0002-1248-8520,,,,,,
Elaine A. West,Elaine,West,0009-0006-5400-9862,University of Michigan–Ann Arbor,https://ror.org/00jmfr291,Nuclear Engineering,PhD,2005,2010
Vanessa R. Wormser,Vanessa,Wormser,0000-0003-3729-9280,,,,,,
Jasper G. Wu,Jasper,Wu,0000-0001-7684-3926,University of Southern California,5116,Chemical Engineering,Master of Science,2014,
Jasper G. Wu,Jasper,Wu,0000-0001-7684-3926,University of Southern California,5116,Chemical Engineering,Bachelor of Science,2011,2015
Jasper G. Wu,Jasper Zhao Zhen,Wu,0000-0002-2431-1845,National University of Singapore,37580,Department of English Language and Literature,PhD,2020,2024
Jasper G. Wu,Jasper Zhao Zhen,Wu,0000-0002-2431-1845,University of Hong Kong,grid.194645.b,School of English,MPhil,2016,2018
Aditi Dubey,ADITI,Dubey,0000-0003-3748-024X,,,,,,
Aditi Dubey,Aditi ,Dubey,0000-0002-9216-4437,,,,,,
Aditi Dubey,Aditi,Dubey,0000-0002-7536-7638,,,,,,
Aditi Dubey,Aditi,Dubey,0000-0002-3673-3367,,,,,,
Aditi Dubey,ADITI,DUBEY,0009-0002-2075-9658,,,,,,
Aditi Dubey,Aditi,Dubey,0000-0003-2175-6969,"University of Maryland, College Park",grid.164295.d,Entomology,Ph.D.,2015,
Aditi Dubey,Aditi,Dubey,0000-0003-2175-6969,University of California Berkeley,1438,Integrative Biology,B.A.,2010,2014
Aditi Dubey,Aditi,Dubey,0000-0002-1030-1347,,,,,,
Aditi Dubey,Aditi,Dubey,0009-0005-6396-6894,,,,,,
Aditi Dubey,Aditi,Dubey,0000-0003-0162-7334,Rutgers The State University of New Jersey,242612,Cell and Developmental Biology,Doctor of Philosophy,2009,2016
Aditi Dubey,Aditi ,Dubey,0009-0001-3855-8777,,,,,,
Aditi Dubey,ADITI,DUBEY,0009-0000-6215-5292,,,,,,
Aditi Dubey,Aditi,Dubey,0009-0004-1992-389X,,,,,,
Aditi Dubey,Aditi ,Dubey ,0009-0002-6999-523X,,,,,,
Aditi Dubey,Ambalika Aditi,Dubey,0009-0005-4216-9765,,,,,,
Caylee A. Falvo,Caylee,Falvo,0000-0002-1520-137X,Cornell University,https://ror.org/05bnh6r87,,,,
Rubi Galarza,Sol Rubi,Calizaya Galarza,0009-0009-9765-1101,,,,,,
Lisa Guan,Lisa,Guan,0000-0003-2085-7928,,,,,,
Lisa Guan,Lisa,Guan,0000-0001-9512-3131,,,,,,
Lisa Guan,Lisa,Guan,0000-0002-2266-5594,,,,,,
Jessica J. Hughes,Jessica,Hughes,0000-0002-9915-3634,,,,,,
Jessica J. Hughes,Jessica,Hughes,0000-0002-1940-6153,University of Cambridge,2152,,,,
Jessica J. Hughes,Jessica,Hughes,0000-0002-1940-6153,Courtauld Institute of Art,4897,,,,
Jessica J. Hughes,Jessica,Hughes,0009-0007-5306-1068,,,,,,
Jessica J. Hughes,Jessica,Hughes,0009-0002-4303-4254,,,,,,
Jessica J. Hughes,Jessica,Hughes,0000-0002-8147-6638,,,,,,
Jessica J. Hughes,Jessica,Hughes,0000-0002-3688-9249,,,,,,
Jessica J. Hughes,Jessica,Hughes,0000-0002-6723-3410,,,,,,
Jessica J. Hughes,Jessica,Hughes,0000-0002-3171-5610,,,,,,
Jessica J. Hughes,Jessica,Hughes,0000-0003-1006-0245,,,,,,
Jessica J. Hughes,Jessica,Hughes,0009-0005-7706-1359,Cornell University,https://ror.org/05bnh6r87,,,,
Jessica J. Hughes,Jessica,Hughes,0000-0002-0535-4241,,,,,,
Jessica J. Hughes,Jessica,Hughes,0009-0001-7884-3871,University of Birmingham,http://dx.doi.org/10.13039/501100000855,School of Psychology,BSc Psychology,2013,2016
Jessica J. Hughes,Jessica,Hughes,0000-0002-1709-4926,University of Tasmania,https://ror.org/01nfmeh72,School of Psychological Sciences,Master of Professional Psychology,2023,2023
Jessica J. Hughes,Jessica,Hughes,0000-0002-1709-4926,University of Tasmania,3925,Psychology,Bachelor of Psychological Science with Honours,2019,2019
Jessica J. Hughes,Jessica,Hughes,0000-0002-1709-4926,University of Tasmania,3925,Psychology,Bachelor or Behavioural Science,2014,2019
Jessica J. Hughes,Jessica,Hughes,0000-0003-0046-1686,,,,,,
Jessica J. Hughes,Jessica,Hughes,0009-0008-6294-9955,,,,,,
Jessica J. Hughes,Jessica Mariah,Hughes,0000-0002-2081-4576,University of Toronto,7938,Department of Medicine,Adult Infectious Diseases Fellowship,2020,2022
Jessica J. Hughes,Jessica Mariah,Hughes,0000-0002-2081-4576,University of Ottawa,6363,Department of Medicine,Core Internal Medicine Residency,2017,2020
Jessica J. Hughes,Jessica Mariah,Hughes,0000-0002-2081-4576,Memorial University of Newfoundland,7512,Faculty of Medicine,Doctor of Medicine,2013,2017
Jessica J. Hughes,Jessica Mariah,Hughes,0000-0002-2081-4576,Dalhousie University,3688,,"Bachelor of Science, Microbiology & Immunology",2008,2012
Jessica J. Hughes,Jessica Maree,Hughes,0009-0008-4011-958X,,,,,,
Jessica J. Hughes,Jessica,Ireland-Hughes,0000-0002-2949-6439,,,,,,
Jessica J. Hughes,Jessica,C. Hughes,0009-0002-1215-8967,,,,,,
Jessica J. Hughes,Jessica M. F.,Hughes,0000-0001-6522-7001,,,,,,
Rebecca D. Jolitz,Rebecca,Jolitz,0000-0001-6360-0140,University of Colorado Boulder,http://dx.doi.org/10.13039/100007493,Physics,PhD,,2022
Rebecca D. Jolitz,Rebecca,Jolitz,0000-0001-6360-0140,University of California Berkeley,http://dx.doi.org/10.13039/100006978,Physics,B.A.,,2014
Katie M. Kobayashi,Katie,Kobayashi,0000-0002-8900-9479,University of California Santa Cruz,8787,Ecology and Evolutionary Biology,Ph.D. Graduate Student,2016,
Katie M. Kobayashi,Katie,Kobayashi,0000-0002-8900-9479,University of California Berkeley,1438,Integrative Biology,B.A. Integrative Biology - Ecology & Evolution,2010,2014
Katie M. Kobayashi,Katie,Kobayashi,0009-0003-3890-6799,,,,,,
Samuel R. Parks,Samuel,Parks,0000-0002-0229-831X,,,,,,
Samuel R. Parks,Samuel,Parks,0000-0002-8069-3390,,,,,,
Jessica S. Reimche,Jessica,Reimche,0000-0001-6536-7039,,,,,,
Lisa M. Rosenthal,Lisa,Rosenthal,0000-0002-0246-877X,,,,,,
Lisa M. Rosenthal,Lisa,Rosenthal,0000-0003-4030-7587,"University of California, Davis",grid.27860.3b,Graduate Group in Ecology,PhD,2016,2021
Lisa M. Rosenthal,Lisa,Rosenthal,0000-0003-3425-8192,,,,,,
Lisa M. Rosenthal,Lisa,Rosenthal,0000-0002-1820-5261,,,,,,
Lisa M. Rosenthal,Lisa-Maria,Rosenthal,0000-0003-4083-1186,,,,,,
Rebecca C. Trinh,Rebecca,Trinh,0000-0003-4966-8928,,,,,,
Serena C. Van,Serena,Van Buskirk ,0000-0003-2274-5532,,,,,,
Serena C. Van,Serena,van Oosten,0009-0007-6530-1428,,,,,,
Serena C. Van,Serena,van Nimwegen,0000-0001-9823-7812,,,,,,
Addien C. Wray,Addien,Wray,0000-0001-6587-0486,University of Washington,https://ror.org/00cvxb145,Earth and Space Sciences,Ph.D.,2016,2022
Addien C. Wray,Addien,Wray,0000-0001-6587-0486,University of California Berkeley,1438,Earth and Planetary Science,B.A.,2010,2014
Addien C. Wray,Addien,Wray,0000-0001-6587-0486,University of California Berkeley,1438,Integrative Biology,B.A.,2010,2014
LINDSEY P. AGNEW,Lindsey,Agnew,0000-0002-3283-2878,,,,,,
LINDSEY P. AGNEW,Lindsey D,Agnew,0009-0001-1722-2190,University of Alberta,http://dx.doi.org/10.13039/501100000190,Mechanical Engineering (Injury Biomechanics),Master of Science,,2023
LINDSEY P. AGNEW,Lindsey D,Agnew,0009-0001-1722-2190,University of Calgary,http://dx.doi.org/10.13039/100008459,Kinesiology (Biomechanics),Bachelor of Science,,2019
MICHELLE CHANG,Michelle,Chang,0000-0001-8316-0840,,,,,,
MICHELLE CHANG,Michelle,Chang,0009-0004-1792-7950,,,,,,
MICHELLE CHANG,Michelle,Chang,0009-0005-5770-2243,,,,,,
MICHELLE CHANG,Michelle,Chang,0000-0003-1476-3650,,,,,,
MICHELLE CHANG,Michelle,Chang,0000-0002-9034-1540,Carnegie Mellon University,https://ror.org/05x2bcf33,Robotics Institute (School of Computer Science),PhD,2025,
MICHELLE CHANG,Michelle,Chang,0000-0002-9034-1540,University of Washington,https://ror.org/00cvxb145,Human Centered Design and Engineering,Research M.S. ,2023,2025
MICHELLE CHANG,Michelle,Chang,0000-0002-9034-1540,"University of California, Berkeley",https://ror.org/01an7q238,Electrical Engineering and Computer Science,B.S.,2013,2017
MICHELLE CHANG,Michelle,Chang,0009-0005-3060-1880,,,,,,
MICHELLE CHANG,Michelle,Chang,0000-0002-8974-9151,,,,,,
MICHELLE CHANG,Michelle,Chang,0009-0005-1533-8965,Dominican University of California,https://ror.org/056d3gw71,Natural Health Sciences & Mathematics,B.S. Biology,2020,2023
MICHELLE CHANG,Michelle,Chang,0000-0002-8984-0895,,,,,,
MICHELLE CHANG,Michelle,Chang,0009-0000-8238-2433,,,,,,
MICHELLE CHANG,Michelle,Chang,0009-0009-2937-3162,,,,,,
MICHELLE CHANG,Michelle,Chang,0000-0002-5648-1080,,,,,,
MICHELLE CHANG,Michelle,Chang,0000-0002-1998-6047,,,,,,
MICHELLE CHANG,Michelle,Chang,0000-0003-1340-4234,Universidade de São Paulo,,Materiais Dentários e Prótese,Doutoranda,2024,
MICHELLE CHANG,Michelle,Chang,0000-0003-1340-4234,Universidade de São Paulo,https://ror.org/036rp1748,Materiais Dentários e Prótese,Mestre em Odontologia (Reabilitação Oral),2023,2024
MICHELLE CHANG,Michelle,Chang,0000-0003-1340-4234,Universidade Federal de Juiz de Fora,28113,Odontologia,Cirurgiã-Dentista,2016,2022
MICHELLE CHANG,Michelle,Chang,0009-0004-2769-7829,Nanyang Technological University,,Finance,,2021,
MICHELLE CHANG,Michelle,Chang,0000-0002-3263-8266,,,,,,
MICHELLE CHANG,Michelle,Chang,0000-0003-3747-7630,,,,,,
MICHELLE CHANG,Michelle Yvonne,Chang,0000-0002-7397-6886,,,,,,
MICHELLE CHANG,Michelle J.,Chang,0000-0001-6087-6651,Georgetown University,,,Bachelor of Science,2012,2016
MICHELLE CHANG,Michelle Chip,Chang,0000-0002-5989-8332,,,,,,
MICHELLE CHANG,Michelle Chang,Chang,0009-0002-1882-844X,,,,,,
MICHELLE CHANG,Livia Michelle,Bravo Chang,0000-0003-3374-8667,Universidad César Vallejo,488352,,,,
MICHELLE CHANG,Michelle Kyomi,Tsuchida Chang,0009-0000-1250-4749,,,,,,
MICHELLE CHANG,Michelle Estefanía,Luzardo Chang,0009-0007-8602-9531,,,,,,
CHRISTOPHER J. EVERETT,Christopher,Everett,0000-0003-1060-4169,Greenville Memorial Hospital,https://ror.org/052dmyg58,Vasuclar Surgery,Vascular Surgeon,2009,2011
CHRISTOPHER J. EVERETT,Christopher,Everett,0000-0003-1060-4169,University of Kansas,http://dx.doi.org/10.13039/100007859,General Surgery,General Surgeon,,2009
CHRISTOPHER J. EVERETT,Christopher,Everett,0000-0003-1060-4169,Univeristy of Texas at Houston,,,M.D.,,2004
CHRISTOPHER J. EVERETT,Christopher,Everett,0000-0001-8563-1984,,,,,,
CHRISTOPHER J. EVERETT,Christopher,Everett,0000-0001-5181-108X,University of Oxford,6396,Astrophysics; Exeter College; St Anne's College,,,
CHRISTOPHER J. EVERETT,Christopher,Everett,0000-0001-5181-108X,University of Southampton,https://ror.org/01ryk1543,Department of Aeronautical and Astronautical Engineering,MSc in Space Systems Engineering,2021,2022
CHRISTOPHER J. EVERETT,Christopher,Everett,0000-0001-5181-108X,University of Oxford,https://ror.org/052gg0110,Physics,MPhys,2017,2021
CHRISTOPHER J. EVERETT,Christopher Reck,Everett,0000-0001-9187-9599,,,,,,
CHRISTOPHER J. EVERETT,Henry Christopher,Everett,0009-0006-3253-4332,,,,,,
KATYA FRAZIER,Katya,Frazier,0000-0003-3728-6738,,,,,,
MATTHEW C. FUNSTEN,Matthew,Funsten,0000-0002-4851-3468,"University of California, Berkeley",grid.47840.3f,Integrative Biology,BA,2011,2015
MOLLY HARDESTY-MOORE,Molly,Hardesty-Moore,0000-0002-0961-5832,University of California Santa Barbara,8786,"Ecology, Evolution, and Marine Biology",Ph.D.,2015,2023
MOLLY HARDESTY-MOORE,Molly,Hardesty-Moore,0000-0002-0961-5832,University of California Berkeley,1438,Integrative Biology,B.A.,2011,2015
MOLLY HARDESTY-MOORE,Molly,Moore,0000-0001-7518-3137,,,,,,
MOLLY HARDESTY-MOORE,Molly,Moore,0000-0002-7833-0769,,,,,,
MOLLY HARDESTY-MOORE,Molly,Moore,0000-0001-5868-8272,,,,,,
MOLLY HARDESTY-MOORE,Mary (Molly),Moore,0000-0002-1253-9025,,,,,,
JESSICA KENDALL-BAR,Jessica,Kendall-Bar,0000-0003-4758-1386,University of California Santa Cruz,,Ecology & Evolutionary Biology,PhD Candidate,2017,2022
JESSICA KENDALL-BAR,Jessica,Kendall,0000-0003-2884-4849,Lancaster University,4396,Mathematics and Statistics Department,MSc Statistics ,2015,2016
JESSICA KENDALL-BAR,Jessica,Kendall,0000-0003-2884-4849,Lancaster University,4396,Mathematics and Statistics Department,BSc Mathematics,2011,2015
RUTH JEAN AE KIM,Ruth,Kim,0009-0008-0450-6216,University of California Berkeley,http://dx.doi.org/10.13039/100006978,Integrative Biology,Bachelor of Arts,2010,2014
RUTH JEAN AE KIM,Ruth,Kim,0000-0003-3476-5602,,,,,,
RUTH JEAN AE KIM,Ruth Lee,Kim,0000-0003-1738-2829,,,,,,
RUTH JEAN AE KIM,RUTH ILRYOUNG,KIM,0009-0004-9729-0960,,,,,,
RUTH JEAN AE KIM,Ruth (Ye Won),Kim,0009-0003-9114-5167,,,,,,
KRISTIN A. LITTLE,Kristin,Little,0000-0002-2522-4233,,,,,,
NICOLAS S. LOCATELLI,Nicolas,Locatelli,0009-0009-1226-9465,,,,,,
NICOLAS S. LOCATELLI,Nicolas,Locatelli,0000-0003-1966-5195,,,,,,
NICOLAS S. LOCATELLI,Nicolas,Locatelli,0000-0001-7850-5015,The Pennsylvania State University,,Biology,"Biology, PhD",2020,2024
NICOLAS S. LOCATELLI,Nicolas,Locatelli,0000-0001-7850-5015,Columbia University,5798,"Ecology, Evolution and Environmental Biology",Master of Arts,2017,2019
NICOLAS S. LOCATELLI,Nicolas,Locatelli,0000-0001-7850-5015,University of California Berkeley,1438,"Environmental Science, Policy, and Management",Bachelors of Science,2012,2015
NICOLAS S. LOCATELLI,Nicolas,Müller Locatelli,0000-0001-9732-827X,Universidad Nacional de Educación a Distancia,16757,,Experto Universitario en estadística aplicada a la ciencias de la salud,2012,2013
NICOLAS S. LOCATELLI,Nicolas,Müller Locatelli,0000-0001-9732-827X,Hospital Universitario Reina Sofía,16501,Otorrinolaringología,Médico interno residente,2009,2013
NICOLAS S. LOCATELLI,Nicolas,Müller Locatelli,0000-0001-9732-827X,Universidad de Córdoba,16735,,Máster en metodología de la investigación,2010,2012
NICOLAS S. LOCATELLI,Nicolas,Müller Locatelli,0000-0001-9732-827X,Universidad de Murcia Facultad de Medicina,83158,,Licenciado en medicina,2001,2008
NICOLAS S. LOCATELLI,Nicolas Daniel,Muniz Locatelli,0000-0002-6235-1303,,,,,,
AMY J. MOULTHROP,Amy,Moulthrop,0000-0002-6240-4882,,,,,,
ANNA L. PETROSKY,Anna,Petrosky,0000-0003-1106-9743,,,,,,
JAMES G. SAULSBURY,James,Saulsbury,0000-0002-5903-9220,University of Michigan,1259,Earth and Environmental Sciences,Ph.D.,2016,2021
JAMES G. SAULSBURY,James,Saulsbury,0000-0003-3792-5632,University of Tennessee,4292,Planning,M.S.,1986,1989
JAMES G. SAULSBURY,James,Saulsbury,0000-0003-3792-5632,University of Tennessee,4292,History,B.A.,1982,1986
DORIANE WEILER,Doriane,Weiler,0000-0003-3773-350X,,,,,,
Karen V. Gallardo,Karen,Gallardo,0009-0009-0856-9377,,,,,,
Karen V. Gallardo,Karen,Gallardo ,0000-0003-4305-5661,,,,,,
Karen V. Gallardo,Karen,Gallardo,0009-0000-5571-9002,,,,,,
Karen V. Gallardo,Karen,Gallardo Aranda,0000-0002-8290-1202,,,,,,
Karen V. Gallardo,KAREN ,RUIZ GALLARDO,0000-0001-7859-4935,,,,,,
Karen V. Gallardo,Karen,Gallardo Cruz,0000-0001-7285-3748,University of Hawaii at Hilo,,Tropical Conservation Biology and Environmental Science,M.S.,2017,2019
Karen V. Gallardo,KAREN NAACIA,FAJARDO GALLARDO,0009-0002-3739-6101,,,,,,
Karen V. Gallardo,Karen Aylin,Sosa Gallardo,0000-0002-1725-4475,Universidad TecMilenio,149241,Maestría ,Maestría en educación ,2018,
Karen V. Gallardo,Karen Aylin,Sosa Gallardo,0000-0002-1725-4475,Escuela Normal Superior del Estado de Puebla,,Licenciatura,Licenciatura en Educación Secundaria con especialidad en química,2013,2017
Karen V. Gallardo,Karen Aylin,Sosa Gallardo,0000-0002-1725-4475,ilce sepa ingles ,,,General II BI,2014,2016
Karen V. Gallardo,Karen Pierina,Gallardo Garcia,0000-0002-1464-5710,,,,,,
