input,given,family,orcid,title,funder,identifier,award,start,end
"Johnson,A.",Sarah A.,Johnson,0000-0003-3392-0535,Neuronal consequences of stress-induced reinstatement of drug-taking in the rodent amygdala,Natural Sciences and Engineering Research Council,,grant.433894,2009,2010
"Johnson,A.",Sarah A.,Johnson,0000-0003-3392-0535,Molecular and behavioural effects of glucocorticoids,Natural Sciences and Engineering Research Council,,grant.299239,2005,2006
"Johnson,A.",Sarah A.,Johnson,0000-0003-3392-0535,Neuronal consequences of stress-induced reinstatement of drug-taking in the rodent amygdala,Natural Sciences and Engineering Research Council,,grant.405645,2008,2009
"Johnson,A.",Sarah A.,Johnson,0000-0003-3392-0535,Molecular and behavioural effects of glucocorticoids,Natural Sciences and Engineering Research Council,,grant.274752,2004,2005
"Johnson,A.",Isabel A,Johnson,0000-0001-9124-5799,,,,,,
"Johnson,A.",Thomas A.,Johnson,0000-0002-9135-3252,,,,,,
"Johnson,A.",Bjorn A ,Johnson,0000-0002-6460-2444,,,,,,
"Johnson,A.",Mark A,Johnson,0000-0001-6721-2428,,,,,,
"Johnson,A.",A Jakob,Johnson,0000-0002-8161-6303,,,,,,
"Johnson,A.",Ericka A,Johnson,0000-0003-0172-4265,,,,,,
"Johnson,A.",A Daniel,Johnson,0000-0001-7464-6590,,,,,,
"Johnson,A.",David A.,Johnson,0000-0002-2363-0940,,,,,,
